previous_action;Q1_q1a1;Q1_q1a2;Q1_q1a3;Q2_q2a1;Q2_q2a2;Q2_q2a3;Q3_q3a1;Q3_q3a2;Q3_q3a3;Q4_q4a1;Q4_q4a2;Q4_q4a3;Q5_q5a1;Q5_q5a2;Q5_q5a3;click2button_click2link;like_dislike_dislike;like_dislike_like;like_dislike_unknown;open_type_cookie;page_viewed_1;page_viewed_10;page_viewed_11;page_viewed_12;page_viewed_13;page_viewed_14;page_viewed_15;page_viewed_16;page_viewed_17;page_viewed_2;page_viewed_3;page_viewed_4;page_viewed_5;page_viewed_6;page_viewed_7;page_viewed_8;page_viewed_9;session_end;session_start;system_favorite;system_optout_CREATIVE;system_share
Q1_q1a1;0.0;11.0;0.0;18.0;24.0;2.0;1.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;29.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;2654.0;1.0;2519.0;48.0;0.0;0.0;9.0;0.0;13.0;0.0;0.0;0.0;0.0
Q1_q1a2;0.0;0.0;0.0;33.0;56.0;18.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3384.0;3279.0;23.0;62.0;1.0;5.0;8.0;0.0;18.0;0.0;2.0;0.0;1.0
Q1_q1a3;1.0;6.0;0.0;13.0;24.0;4.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;7.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2309.0;2.0;2016.0;39.0;0.0;2.0;3.0;0.0;21.0;0.0;0.0;0.0;1.0
Q2_q2a1;7.0;0.0;1.0;0.0;0.0;0.0;32.0;27.0;23.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;2.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;5.0;4.0;7.0;2850.0;2987.0;33.0;63.0;5.0;5.0;0.0;0.0;0.0;0.0
Q2_q2a2;2.0;4.0;1.0;21.0;0.0;0.0;38.0;32.0;19.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;1.0;5.0;6.0;0.0;0.0;2.0;0.0;0.0;1.0;11.0;4.0;5.0;4756.0;1.0;3966.0;101.0;4.0;19.0;0.0;0.0;0.0;0.0
Q2_q2a3;2.0;0.0;0.0;10.0;0.0;0.0;11.0;10.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1455.0;2.0;1169.0;22.0;4.0;8.0;0.0;0.0;0.0;0.0
Q3_q3a1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;15.0;1.0;34.0;12.0;13.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;2485.0;56.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;6.0;5.0;6.0;3282.0;2.0;12.0;0.0;3.0;0.0;0.0
Q3_q3a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;16.0;20.0;3.0;0.0;1.0;1.0;0.0;7.0;0.0;0.0;0.0;18.0;63.0;1.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;6.0;1.0;3448.0;3238.0;11.0;0.0;0.0;0.0;0.0
Q3_q3a3;0.0;0.0;0.0;0.0;1.0;0.0;0.0;11.0;0.0;26.0;6.0;7.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1551.0;43.0;3.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;2122.0;0.0;8.0;0.0;0.0;0.0;0.0
Q4_q4a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;46.0;9.0;8.0;2.0;0.0;1.0;0.0;0.0;0.0;9.0;4080.0;3525.0;15.0;59.0;6.0;3.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;18.0;0.0;0.0;0.0;0.0
Q4_q4a2;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;11.0;0.0;3.0;26.0;5.0;7.0;0.0;1.0;1.0;0.0;2.0;0.0;2.0;2262.0;0.0;1750.0;40.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;14.0;0.0;0.0;0.0;0.0
Q4_q4a3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;22.0;11.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2067.0;0.0;1675.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;1.0;0.0
Q5_q5a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;11.0;0.0;5.0;0.0;0.0;0.0;0.0;3.0;2.0;3.0;5498.0;4843.0;10.0;156.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;67.0;0.0;4.0;0.0;1.0
Q5_q5a2;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;9.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;2.0;9.0;1570.0;7.0;1208.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;19.0;0.0;0.0;0.0;0.0
Q5_q5a3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;965.0;2.0;762.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0
click2button_click2link;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;371.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.0;0.0;1.0;0.0;0.0
like_dislike_dislike;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;22.0;0.0
like_dislike_like;7.0;8.0;4.0;8.0;6.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;1.0;8.0;4.0;98.0;4.0;3.0;4.0;5.0;0.0;10.0;2.0;55.0;23.0;25.0;24.0;5.0;6.0;14.0;7.0;4.0;52.0;0.0;17.0;0.0;10.0
like_dislike_unknown;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
open_type_cookie;12.0;19.0;13.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;824.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;54.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;59.0;0.0;0.0;0.0;0.0
page_viewed_1;2886.0;3645.0;2548.0;26.0;44.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;61.0;5.0;598.0;12.0;0.0;46.0;0.0;0.0;17.0;0.0;0.0;14.0;17251.0;57.0;67.0;771.0;1.0;9.0;146.0;0.0;23347.0;0.0;23.0;3.0;6.0
page_viewed_10;7.0;5.0;6.0;15.0;3.0;2.0;15.0;299.0;11.0;2363.0;1321.0;1298.0;7.0;4.0;1.0;0.0;0.0;4.0;1.0;18.0;0.0;0.0;3886.0;17.0;38.0;37.0;2.0;0.0;6.0;1.0;2.0;0.0;0.0;0.0;3.0;54.0;29.0;184.0;0.0;0.0;0.0;0.0
page_viewed_11;4.0;7.0;4.0;9.0;12.0;0.0;52.0;90.0;41.0;2887.0;1577.0;1423.0;251.0;76.0;39.0;1.0;0.0;10.0;0.0;26.0;5.0;29.0;0.0;4066.0;4438.0;2803.0;24.0;6.0;485.0;23.0;3.0;1.0;58.0;4.0;3.0;364.0;12.0;670.0;0.0;0.0;1.0;0.0
page_viewed_12;0.0;0.0;2.0;4.0;0.0;0.0;1.0;11.0;3.0;13.0;5.0;8.0;3077.0;760.0;438.0;5.0;0.0;1.0;0.0;10.0;0.0;4.0;10.0;1.0;0.0;3134.0;39.0;10.0;50.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;110.0;0.0;0.0;0.0;0.0
page_viewed_13;0.0;2.0;0.0;3.0;0.0;0.0;1.0;5.0;3.0;244.0;11.0;7.0;2746.0;858.0;535.0;2.0;0.0;0.0;0.0;8.0;0.0;0.0;22.0;20.0;1.0;3312.0;45.0;24.0;42.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;121.0;0.0;0.0;0.0;0.0
page_viewed_14;1.0;4.0;4.0;7.0;10.0;0.0;3.0;7.0;4.0;122.0;48.0;54.0;4062.0;1116.0;698.0;20.0;1.0;17.0;0.0;12.0;5.0;0.0;339.0;16.0;29.0;0.0;5576.0;2503.0;3027.0;11.0;1.0;0.0;18.0;1.0;0.0;67.0;0.0;878.0;0.0;0.0;0.0;1.0
page_viewed_15;4.0;5.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;11.0;4.0;5.0;36.0;4.0;1.0;409.0;0.0;80.0;0.0;4.0;0.0;1.0;0.0;1.0;3.0;57.0;0.0;1.0;9285.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;680.0;0.0;13.0;0.0;4.0
page_viewed_16;2.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;6.0;3.0;1.0;184.0;13.0;8.0;117.0;1.0;17.0;0.0;6.0;0.0;0.0;0.0;0.0;3.0;23.0;24.0;0.0;3837.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;288.0;0.0;5.0;0.0;1.0
page_viewed_17;23.0;28.0;17.0;25.0;1.0;2.0;2.0;19.0;5.0;12.0;8.0;3.0;90.0;30.0;22.0;197.0;2.0;47.0;0.0;63.0;2.0;4.0;65.0;1.0;1.0;266.0;33.0;16.0;1.0;10.0;0.0;2.0;15.0;0.0;0.0;31.0;2.0;16680.0;0.0;19.0;0.0;5.0
page_viewed_2;1957.0;2482.0;1622.0;551.0;797.0;235.0;11.0;4.0;4.0;2.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;45.0;2.0;84.0;481.0;0.0;133.0;0.0;0.0;53.0;0.0;0.0;39.0;1.0;3268.0;5001.0;5987.0;11.0;23.0;552.0;1.0;2888.0;0.0;4.0;0.0;7.0
page_viewed_3;19.0;14.0;5.0;1247.0;1860.0;621.0;19.0;24.0;25.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;11.0;2.0;3.0;6.0;0.0;0.0;4.0;0.0;0.0;4.0;15.0;0.0;2.0;2516.0;31.0;34.0;54.0;6.0;196.0;0.0;3.0;0.0;1.0
page_viewed_4;30.0;336.0;24.0;1504.0;2601.0;765.0;39.0;53.0;36.0;7.0;3.0;2.0;1.0;0.0;0.0;0.0;1.0;8.0;2.0;42.0;5.0;3.0;17.0;0.0;0.0;7.0;0.0;1.0;2.0;38.0;35.0;0.0;3443.0;22.0;44.0;139.0;1.0;505.0;0.0;3.0;0.0;4.0
page_viewed_5;190.0;236.0;113.0;1981.0;3406.0;970.0;134.0;127.0;71.0;6.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;21.0;2.0;50.0;61.0;12.0;471.0;1.0;2.0;142.0;1.0;0.0;67.0;379.0;32.0;43.0;0.0;3057.0;6121.0;3595.0;4.0;1154.0;0.0;7.0;2.0;3.0
page_viewed_6;80.0;24.0;41.0;28.0;12.0;7.0;1197.0;1336.0;812.0;18.0;11.0;7.0;4.0;0.0;0.0;0.0;0.0;8.0;1.0;6.0;0.0;20.0;41.0;2.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;2.0;22.0;0.0;1.0;2354.0;18.0;118.0;0.0;3.0;0.0;2.0
page_viewed_7;64.0;30.0;33.0;438.0;21.0;8.0;2252.0;2330.0;1301.0;5.0;13.0;8.0;1.0;2.0;1.0;0.0;0.0;3.0;0.0;20.0;1.0;40.0;44.0;2.0;2.0;12.0;0.0;0.0;7.0;2.0;4.0;1.0;40.0;30.0;2.0;4458.0;22.0;274.0;0.0;1.0;1.0;1.0
page_viewed_8;42.0;36.0;17.0;100.0;120.0;52.0;2127.0;2448.0;1426.0;183.0;91.0;60.0;6.0;1.0;0.0;1.0;0.0;6.0;0.0;27.0;15.0;5436.0;3070.0;9.0;15.0;552.0;1.0;0.0;166.0;65.0;4.0;7.0;356.0;12.0;29.0;0.0;3429.0;1004.0;0.0;2.0;2.0;3.0
page_viewed_9;5.0;3.0;2.0;10.0;2.0;3.0;1.0;14.0;0.0;1802.0;995.0;920.0;23.0;5.0;9.0;2.0;0.0;3.0;0.0;6.0;0.0;4.0;2758.0;20.0;17.0;42.0;1.0;1.0;4.0;0.0;0.0;0.0;1.0;1.0;0.0;30.0;1.0;101.0;0.0;4.0;0.0;0.0
session_end;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
session_start;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
system_favorite;0.0;3.0;1.0;1.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;9.0;2.0;3.0;22.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;17.0;3.0;6.0;0.0;3.0;0.0;1.0;1.0;2.0;27.0;0.0;5.0;0.0;4.0
system_optout_CREATIVE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;2.0;1.0;6.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0
system_share;2.0;3.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;9.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;5.0;4.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;17.0;0.0;3.0;0.0;1.0
